S.No,Name,Symbol
1,360 ONE WAM LIMITED,360ONE
2,ABB India Limited,ABB
3,APL Apollo Tubes Limited,APLAPOLLO
4,AU Small Finance Bank Limited,AUBANK
5,Adani Energy Solutions Limited,ADANIENSOL
6,Adani Enterprises Limited,ADANIENT
7,Adani Green Energy Limited,ADANIGREEN
8,Adani Ports and Special Economic Zone Limited,ADANIPORTS
9,Aditya Birla Capital Limited,ABCAPITAL
10,Alkem Laboratories Limited,ALKEM
11,Amber Enterprises India Limited,AMBER
12,Ambuja Cements Limited,AMBUJACEM
13,Angel One Limited,ANGELONE
14,Apollo Hospitals Enterprise Limited,APOLLOHOSP
15,Ashok Leyland Limited,ASHOKLEY
16,Asian Paints Limited,ASIANPAINT
17,Astral Limited,ASTRAL
18,Aurobindo Pharma Limited,AUROPHARMA
19,Avenue Supermarts Limited,DMART
20,Axis Bank Limited,AXISBANK
21,BSE Limited,BSE
22,Bajaj Auto Limited,BAJAJ-AUTO
23,Bajaj Finance Limited,BAJFINANCE
24,Bajaj Finserv Limited,BAJAJFINSV
25,Bandhan Bank Limited,BANDHANBNK
26,Bank of Baroda,BANKBARODA
27,Bank of India,BANKINDIA
28,Bharat Dynamics Limited,BDL
29,Bharat Electronics Limited,BEL
30,Bharat Forge Limited,BHARATFORG
31,Bharat Heavy Electricals Limited,BHEL
32,Bharat Petroleum Corporation Limited,BPCL
33,Bharti Airtel Limited,BHARTIARTL
34,Biocon Limited,BIOCON
35,Blue Star Limited,BLUESTARCO
36,Bosch Limited,BOSCHLTD
37,Britannia Industries Limited,BRITANNIA
38,CG Power and Industrial Solutions Limited,CGPOWER
39,Canara Bank,CANBK
40,Central Depository Services (India) Limited,CDSL
41,Cholamandalam Investment and Finance Company Limited,CHOLAFIN
42,Cipla Limited,CIPLA
43,Coal India Limited,COALINDIA
44,Coforge Limited,COFORGE
45,Colgate Palmolive (India) Limited,COLPAL
46,Computer Age Management Services Limited,CAMS
47,Container Corporation of India Limited,CONCOR
48,Crompton Greaves Consumer Electricals Limited,CROMPTON
49,Cummins India Limited,CUMMINSIND
50,Cyient Limited,CYIENT
51,DLF Limited,DLF
52,Dabur India Limited,DABUR
53,Dalmia Bharat Limited,DALBHARAT
54,Delhivery Limited,DELHIVERY
55,Divi's Laboratories Limited,DIVISLAB
56,Dixon Technologies (India) Limited,DIXON
57,Dr. Reddy's Laboratories Limited,DRREDDY
58,ETERNAL LIMITED,ETERNAL
59,Eicher Motors Limited,EICHERMOT
60,Exide Industries Limited,EXIDEIND
61,FSN E-Commerce Ventures Limited,NYKAA
62,Fortis Healthcare Limited,FORTIS
63,GAIL (India) Limited,GAIL
64,GMR AIRPORTS LIMITED,GMRAIRPORT
65,Glenmark Pharmaceuticals Limited,GLENMARK
66,Godrej Consumer Products Limited,GODREJCP
67,Godrej Properties Limited,GODREJPROP
68,Grasim Industries Limited,GRASIM
69,HCL Technologies Limited,HCLTECH
70,HDFC Asset Management Company Limited,HDFCAMC
71,HDFC Bank Limited,HDFCBANK
72,HDFC Life Insurance Company Limited,HDFCLIFE
73,HFCL Limited,HFCL
74,Havells India Limited,HAVELLS
75,Hero MotoCorp Limited,HEROMOTOCO
76,Hindalco Industries Limited,HINDALCO
77,Hindustan Aeronautics Limited,HAL
78,Hindustan Petroleum Corporation Limited,HINDPETRO
79,Hindustan Unilever Limited,HINDUNILVR
80,Hindustan Zinc Limited,HINDZINC
81,Hitachi Energy India Limited,POWERINDIA
82,Housing & Urban Development Corporation Limited,HUDCO
83,ICICI Bank Limited,ICICIBANK
84,ICICI Lombard General Insurance Company Limited,ICICIGI
85,ICICI Prudential Life Insurance Company Limited,ICICIPRULI
86,IDFC First Bank Limited,IDFCFIRSTB
87,IIFL Finance Limited,IIFL
88,ITC Limited,ITC
89,Indian Bank,INDIANB
90,Indian Energy Exchange Limited,IEX
91,Indian Oil Corporation Limited,IOC
92,Indian Railway Catering And Tourism Corporation Limited,IRCTC
93,Indian Railway Finance Corporation Limited,IRFC
94,Indian Renewable Energy Development Agency Limited,IREDA
95,Indus Towers Limited,INDUSTOWER
96,IndusInd Bank Limited,INDUSINDBK
97,Info Edge (India) Limited,NAUKRI
98,Infosys Limited,INFY
99,Inox Wind Limited,INOXWIND
100,InterGlobe Aviation Limited,INDIGO
101,JINDAL STEEL LIMITED,JINDALSTEL
102,JSW Energy Limited,JSWENERGY
103,JSW Steel Limited,JSWSTEEL
104,Jio Financial Services Limited,JIOFIN
105,Jubilant Foodworks Limited,JUBLFOOD
106,KEI Industries Limited,KEI
107,KPIT Technologies Limited,KPITTECH
108,Kalyan Jewellers India Limited,KALYANKJIL
109,Kaynes Technology India Limited,KAYNES
110,Kfin Technologies Limited,KFINTECH
111,Kotak Mahindra Bank Limited,KOTAKBANK
112,L&T Finance Limited,LTF
113,LIC Housing Finance Limited,LICHSGFIN
114,LTIMindtree Limited,LTIM
115,Larsen & Toubro Limited,LT
116,Laurus Labs Limited,LAURUSLABS
117,Life Insurance Corporation Of India,LICI
118,Lodha Developers Limited,LODHA
119,Lupin Limited,LUPIN
120,Mahindra & Mahindra Limited,M&M
121,Manappuram Finance Limited,MANAPPURAM
122,Mankind Pharma Limited,MANKIND
123,Marico Limited,MARICO
124,Maruti Suzuki India Limited,MARUTI
125,Max Financial Services Limited,MFSL
126,Max Healthcare Institute Limited,MAXHEALTH
